Date,Open,High,Low,Close,Adj Close,Volume
2023-06-26,40.650002,40.889999,38.410000,38.860001,38.848518,129214
2023-06-27,38.990002,40.099998,38.849998,39.980000,39.968185,76945
2023-06-28,38.880001,40.020000,38.770000,39.320000,39.308380,167173
2023-06-29,39.790001,39.790001,38.840000,39.080002,39.068455,79534
2023-06-30,39.790001,40.700001,39.759998,40.490002,40.478039,116551
2023-07-04,40.500000,40.900002,40.310001,40.840000,40.827930,18437
2023-07-05,40.369999,41.259998,40.250000,40.509998,40.498028,62217
2023-07-06,39.970001,40.320000,39.580002,40.299999,40.288090,91013
2023-07-07,40.500000,41.299999,40.369999,40.639999,40.627995,87063
2023-07-10,40.759998,40.889999,39.860001,40.290001,40.278095,129128
2023-07-11,40.590000,40.860001,40.259998,40.480000,40.468037,57086
2023-07-12,41.169998,41.990002,40.939999,41.959999,41.947601,162706
2023-07-13,42.590000,44.000000,42.570000,43.939999,43.927013,139743
2023-07-14,44.549999,45.889999,43.130001,43.400002,43.387177,211485
2023-07-17,44.189999,44.410000,43.279999,44.369999,44.356884,91191
2023-07-18,44.660000,45.740002,43.730000,45.369999,45.356594,115291
2023-07-19,45.419998,45.549999,44.660000,44.970001,44.956711,133477
2023-07-20,44.400002,44.840000,43.080002,43.549999,43.537132,142245
2023-07-21,43.759998,43.779999,42.250000,42.400002,42.387470,190452
2023-07-24,42.759998,43.090000,42.080002,42.580002,42.567417,85971
2023-07-25,42.950001,44.049999,42.950001,43.630001,43.617107,107650
2023-07-26,44.029999,44.029999,42.709999,43.419998,43.407169,154793
2023-07-27,44.450001,45.250000,44.310001,43.880001,43.867035,156674
2023-07-28,44.540001,44.950001,44.340000,44.660000,44.646805,190081
2023-07-31,44.689999,45.000000,44.470001,44.520000,44.506844,89709
2023-08-01,44.349998,44.759998,44.000000,44.430000,44.416870,83348
2023-08-02,43.810001,43.810001,41.439999,42.349998,42.337486,245356
2023-08-03,41.869999,43.000000,41.869999,42.549999,42.537426,85846
2023-08-04,42.980000,43.529999,42.500000,42.660000,42.647396,68894
2023-08-08,42.790001,43.150002,42.090000,42.650002,42.637398,147108
2023-08-09,42.330002,42.330002,40.259998,40.650002,40.637989,177235
2023-08-10,40.299999,41.540001,40.000000,40.459999,40.448044,141211
2023-08-11,39.889999,40.060001,38.799999,38.980000,38.968479,194863
2023-08-14,38.639999,41.790001,38.540001,41.759998,41.747662,167294
2023-08-15,42.509998,43.209999,41.750000,41.950001,41.937603,183014
2023-08-16,42.529999,42.599998,41.500000,41.520000,41.507732,116803
2023-08-17,42.009998,42.020000,41.080002,41.439999,41.427753,80247
2023-08-18,40.630001,41.590000,39.799999,41.320000,41.307793,190604
2023-08-21,42.439999,44.880001,42.259998,44.820000,44.806755,299299
2023-08-22,45.970001,46.000000,43.290001,43.599998,43.587120,308842
2023-08-23,43.820000,45.060001,43.130001,44.959999,44.946712,369277
2023-08-24,47.970001,47.970001,45.049999,45.060001,45.046688,608247
2023-08-25,44.869999,45.630001,42.959999,43.889999,43.877029,514036
2023-08-28,44.330002,44.820000,42.869999,44.689999,44.676788,275852
2023-08-29,44.509998,46.799999,44.330002,46.520000,46.506252,280765
2023-08-30,46.849998,47.610001,46.240002,47.000000,46.986115,266810
2023-08-31,47.119999,47.430000,46.730000,47.119999,47.106075,163499
2023-09-01,47.470001,47.490002,45.980000,46.240002,46.226337,185152
2023-09-05,46.009998,46.549999,45.680000,46.279999,46.266323,89021
2023-09-06,46.240002,46.279999,44.439999,44.889999,44.880421,143158
2023-09-07,43.439999,44.200001,43.060001,44.090000,44.080593,131183
2023-09-08,43.849998,44.400002,43.209999,43.410000,43.400738,184243
2023-09-11,44.029999,44.029999,42.279999,43.060001,43.050812,302440
2023-09-12,42.610001,43.520000,42.590000,42.779999,42.770870,145182
2023-09-13,42.540001,43.790001,42.480000,43.380001,43.370739,95251
2023-09-14,43.830002,43.830002,43.090000,43.500000,43.490719,164367
2023-09-15,43.259998,43.380001,41.790001,41.849998,41.841068,254985
2023-09-18,40.730000,42.150002,40.369999,41.880001,41.871063,197455
2023-09-19,41.810001,41.910000,41.029999,41.500000,41.491138,77568
2023-09-20,41.529999,41.770000,40.259998,40.270000,40.261406,183891
2023-09-21,39.650002,40.000000,39.070000,39.099998,39.091656,236842
2023-09-22,39.549999,40.070000,39.299999,39.650002,39.641541,246638
2023-09-25,39.650002,40.500000,39.240002,40.230000,40.221416,97089
2023-09-26,40.040001,40.740002,39.720001,39.939999,39.931473,158421
2023-09-27,40.299999,40.790001,39.700001,40.439999,40.431366,202630
2023-09-28,40.490002,41.369999,40.200001,41.020000,41.011246,250489
2023-09-29,41.779999,42.000000,41.250000,41.459999,41.451149,189930
2023-10-02,42.000000,43.000000,41.770000,42.660000,42.650898,264213
2023-10-03,42.730000,42.980000,41.200001,41.439999,41.431156,157599
2023-10-04,41.590000,42.000000,41.240002,41.939999,41.931049,358811
2023-10-05,41.889999,42.720001,41.830002,42.529999,42.520920,210819
2023-10-06,42.009998,43.580002,42.000000,43.540001,43.530708,365997
2023-10-10,43.080002,44.000000,42.900002,43.560001,43.550701,213045
2023-10-11,43.900002,44.549999,43.830002,44.549999,44.540489,172192
2023-10-12,44.529999,45.259998,44.119999,44.680000,44.670460,266802
2023-10-13,44.730000,44.770000,43.099998,43.270000,43.260769,285166
2023-10-16,42.820000,43.980000,42.820000,43.900002,43.890633,178627
2023-10-17,41.880001,42.570000,40.430000,41.820000,41.811073,392696
2023-10-18,40.459999,41.110001,39.799999,40.130001,40.121437,370423
2023-10-19,40.700001,41.119999,39.880001,40.049999,40.041451,509821
2023-10-20,39.889999,40.360001,39.130001,39.389999,39.381596,190001
2023-10-23,39.169998,41.130001,38.990002,40.860001,40.851280,215771
2023-10-24,41.020000,41.580002,40.660000,41.549999,41.541130,64524
2023-10-25,41.320000,41.360001,39.599998,39.759998,39.751514,128022
2023-10-26,39.869999,40.220001,37.959999,38.360001,38.351818,354552
2023-10-27,39.090000,39.160000,38.080002,38.500000,38.491783,124504
2023-10-30,39.099998,39.720001,38.570000,39.139999,39.131645,222531
2023-10-31,38.360001,38.840000,37.310001,38.810001,38.801716,294418
2023-11-01,38.939999,40.290001,38.939999,40.230000,40.221416,167054
2023-11-02,41.279999,41.650002,40.759998,41.349998,41.341175,103733
2023-11-03,41.790001,43.040001,41.680000,42.750000,42.740879,137494
2023-11-06,43.090000,43.599998,42.650002,43.430000,43.420731,90852
2023-11-07,43.369999,43.910000,43.000000,43.630001,43.620689,100603
2023-11-08,43.740002,44.500000,43.740002,44.279999,44.270546,113192
2023-11-09,45.040001,45.830002,44.419998,44.580002,44.570492,216290
2023-11-10,45.189999,46.070000,45.049999,45.970001,45.960194,125685
2023-11-13,45.990002,46.639999,45.740002,46.490002,46.480080,196900
2023-11-14,47.180000,47.369999,46.630001,47.369999,47.359886,140093
2023-11-15,47.470001,47.470001,45.770000,46.439999,46.430088,198223
2023-11-16,46.270000,47.009998,45.919998,46.959999,46.949978,102501
2023-11-17,47.080002,47.150002,46.560001,46.810001,46.800011,96543
2023-11-20,46.869999,47.950001,46.700001,47.900002,47.889782,359618
2023-11-21,47.660000,47.950001,46.820000,47.509998,47.499859,180157
2023-11-22,47.389999,47.770000,45.360001,46.299999,46.290119,426045
2023-11-23,46.459999,46.660000,46.400002,46.540001,46.530071,20371
2023-11-24,45.950001,46.439999,45.299999,45.380001,45.370316,117744
2023-11-27,45.380001,46.080002,45.360001,45.840000,45.830219,75132
2023-11-28,45.849998,45.849998,45.099998,45.439999,45.430298,104488
2023-11-29,45.970001,46.270000,45.480000,45.750000,45.740238,87008
2023-11-30,45.630001,45.689999,44.080002,44.470001,44.460510,261571
2023-12-01,44.209999,44.799999,43.889999,44.430000,44.420517,195089
2023-12-04,43.790001,43.790001,42.779999,43.259998,43.250767,198184
2023-12-05,43.189999,44.279999,43.060001,44.259998,44.254322,162826
2023-12-06,44.869999,45.000000,43.150002,43.220001,43.214458,207334
2023-12-07,44.240002,44.240002,44.240002,44.240002,44.234329,200
2023-12-08,45.099998,45.099998,45.099998,45.099998,45.094212,100
2023-12-11,45.169998,45.169998,43.549999,44.320000,44.314316,206983
2023-12-12,43.750000,45.220001,43.750000,45.189999,45.184200,131868
2023-12-13,45.230000,46.099998,45.230000,45.709999,45.704136,178430
2023-12-14,45.970001,46.169998,45.080002,45.889999,45.884113,123262
2023-12-15,45.810001,46.880001,45.810001,46.450001,46.444042,164924
2023-12-18,46.930000,47.830002,46.630001,47.560001,47.553902,205102
2023-12-19,46.959999,47.209999,46.430000,47.080002,47.073963,291889
2023-12-20,47.080002,47.410000,45.700001,45.680000,45.674141,244910
2023-12-21,46.369999,46.580002,45.950001,46.549999,46.544025,135646
2023-12-22,46.740002,46.840000,46.049999,46.330002,46.324059,181393
2023-12-27,46.950001,47.099998,46.580002,46.830002,46.823994,91103
2023-12-28,47.130001,47.330002,46.919998,46.970001,46.963974,97806
2023-12-29,47.029999,47.029999,47.029999,47.029999,47.023968,200
2024-01-02,46.799999,46.799999,45.130001,45.730000,45.724136,249645
2024-01-03,44.970001,45.669998,44.900002,45.130001,45.124214,134894
2024-01-04,45.250000,45.959999,45.099998,45.529999,45.524158,75130
2024-01-05,45.919998,46.950001,45.919998,46.549999,46.544025,135096
2024-01-08,46.980000,49.580002,46.939999,49.570000,49.563644,332528
2024-01-09,49.750000,51.520000,49.020000,50.400002,50.393536,360339
2024-01-10,50.889999,51.799999,50.790001,51.490002,51.483398,290996
2024-01-11,52.200001,52.450001,50.820000,52.009998,52.003330,259670
2024-01-12,51.830002,52.119999,51.540001,51.900002,51.893345,100068
2024-01-15,52.200001,52.490002,51.900002,52.349998,52.343285,55980
2024-01-16,52.220001,53.910000,52.040001,53.509998,53.503132,205131
2024-01-17,53.529999,53.580002,51.950001,53.169998,53.163177,276558
2024-01-18,54.270000,54.610001,53.320000,54.180000,54.173050,218194
2024-01-19,55.040001,56.410000,54.389999,56.389999,56.382767,361790
2024-01-22,56.970001,57.150002,56.040001,56.590000,56.582745,391130
2024-01-23,56.549999,56.799999,55.630001,56.779999,56.772713,207730
2024-01-24,57.230000,59.570000,56.860001,58.180000,58.172539,478324
2024-01-25,59.150002,59.470001,57.750000,58.490002,58.482498,263313
2024-01-26,57.830002,58.540001,57.459999,57.820000,57.812584,195940
2024-01-29,58.110001,59.250000,57.779999,59.250000,59.242401,168314
2024-01-30,59.720001,60.150002,59.049999,59.570000,59.562359,295581
2024-01-31,58.110001,58.980000,57.599998,58.299999,58.292522,423670
2024-02-01,58.950001,59.910000,58.509998,59.779999,59.772331,293092
2024-02-02,62.750000,62.750000,62.750000,62.750000,62.741951,100
2024-02-05,64.750000,65.919998,63.820000,65.779999,65.771561,746515
2024-02-06,66.120003,66.239998,62.910000,64.720001,64.711700,538585
2024-02-07,64.959999,66.599998,64.120003,66.440002,66.431480,574433
2024-02-08,66.519997,67.110001,65.989998,66.129997,66.121513,392795
2024-02-09,66.849998,68.459999,66.650002,68.430000,68.421219,398062
2024-02-12,68.900002,70.720001,67.629997,68.589996,68.581192,795584
2024-02-13,66.669998,69.629997,66.000000,68.349998,68.341232,954716
2024-02-14,69.400002,70.349998,68.269997,70.050003,70.041016,531074
2024-02-15,70.080002,70.190002,68.680000,68.949997,68.941154,347419
2024-02-16,70.209999,70.500000,68.779999,69.029999,69.021149,515184
2024-02-20,68.070000,68.300003,62.799999,65.889999,65.881546,990764
2024-02-21,64.370003,65.300003,62.840000,64.029999,64.021782,791629
2024-02-22,71.669998,74.419998,70.489998,74.370003,74.360466,1226670
2024-02-23,76.650002,78.000000,73.570000,74.779999,74.770409,1139687
2024-02-26,75.610001,76.349998,74.440002,75.000000,74.990379,807012
2024-02-27,75.180000,75.309998,73.139999,74.650002,74.640427,595434
2024-02-28,73.610001,74.800003,73.080002,73.629997,73.620560,508879
2024-02-29,75.000000,75.779999,74.239998,75.279999,75.270340,497213
2024-03-01,75.900002,78.000000,75.320000,78.000000,77.989998,567848
2024-03-04,79.769997,83.099998,79.360001,80.870003,80.859627,649071
2024-03-05,80.730003,81.519997,79.139999,81.489998,81.483345,626200
2024-03-06,83.459999,84.970001,82.449997,84.000000,83.993149,1738136
2024-03-07,85.339996,87.809998,85.000000,87.800003,87.792839,801507
2024-03-08,90.059998,92.099998,81.970001,82.900002,82.893234,2791895
2024-03-11,81.739998,84.080002,80.000000,81.300003,81.293365,2237438
2024-03-12,83.320000,87.050003,81.620003,86.980003,86.972908,1494062
